;;;;;;;;;;;;;;;;
WKN;ISIN;Kategorie;Branche;Wertpapiertyp;Nennwert;Ranking als Zertifikate-Ampel;Anzahl Kurse;Neuberechnung der PeerGroup deaktiviert;berechnetes Risiko;eingestelltes Risiko;eingestelltes Risiko nicht durch Updates überschreiben;DSER geprüft;Freigegeben für Hausmeinungen;Kupon;Emissionsdatum;erster Kupontermin
;Name;Währung;Land;versteckt für munio-Suche;Zinsmethode;ausschüttend;Anleihenformeln für Rendite verwenden;Kursverlängerung durch Peergroup deaktiviert;berechnete Rendite;eingestellte Rendite;eingestellte Rendite nicht durch Updates überschreiben;DSER geprüft bis Datum;Freigegeben für Hausmeinungen bis;Anz. Kupon-Zahlungspunkte/Jahr;letzter Kupontermin;Laufzeit
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;4,5007 %;;;;;;;
CZ92UK;DE000CZ92UK2;Zertifikate;;[NONE];;;63;FALSE;39,7098 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;10,1336 %;;;;;;;
CZ92UR;DE000CZ92UR7;Zertifikate;;[NONE];;;122;FALSE;8,4625 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 27.03.2014;EUR;;FALSE;;FALSE;;FALSE;1,0935 %;;;;;;;
CZ92V0;DE000CZ92V01;Zertifikate;;[NONE];;;122;FALSE;15,6639 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 27.03.2014;EUR;;FALSE;;FALSE;;FALSE;5,6598 %;;;;;;;
CZ92V5;DE000CZ92V50;Zertifikate;;[NONE];;;121;FALSE;39,7098 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 27.03.2014;EUR;;FALSE;;FALSE;;FALSE;10,0496 %;;;;;;;
CZ92VF;DE000CZ92VF0;Zertifikate;;[NONE];;;181;FALSE;7,2667 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 26.06.2014;EUR;;FALSE;;FALSE;;FALSE;0,9716 %;;;;;;;
CZ92VP;DE000CZ92VP9;Zertifikate;;[NONE];;;182;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 26.06.2014;EUR;;FALSE;;FALSE;;FALSE;2,2816 %;;;;;;;
CZ92VX;DE000CZ92VX3;Zertifikate;;[NONE];;;182;FALSE;15,6639 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 26.06.2014;EUR;;FALSE;;FALSE;;FALSE;5,8076 %;;;;;;;
CZ92W5;DE000CZ92W59;Zertifikate;;[NONE];;;182;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 26.06.2014;EUR;;FALSE;;FALSE;;FALSE;5,0519 %;;;;;;;
CZ92W9;DE000CZ92W91;Zertifikate;;[NONE];;;245;FALSE;2,1082 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;2,2298 %;;;;;;;
CZ92WC;DE000CZ92WC5;Zertifikate;;[NONE];;;246;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;2,223 %;;;;;;;
CZ92WD;DE000CZ92WD3;Zertifikate;;[NONE];;;245;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;2,235 %;;;;;;;
CZ92WH;DE000CZ92WH4;Zertifikate;;[NONE];;;245;FALSE;27,9339 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;2,4358 %;;;;;;;
CZ92WQ;DE000CZ92WQ5;Zertifikate;;[NONE];;;245;FALSE;44,344 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;3,3188 %;;;;;;;
CZ92WV;DE000CZ92WV5;Zertifikate;;[NONE];;;245;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;4,9435 %;;;;;;;
CZ92X9;DE000CZ92X90;Zertifikate;;[NONE];;;296;FALSE;15,6639 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;5,5623 %;;;;;;;
CZ92XM;DE000CZ92XM2;Zertifikate;;[NONE];;;296;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;4,9113 %;;;;;;;
CZ92Y3;DE000CZ92Y32;Zertifikate;;[NONE];;;243;FALSE;57,7621 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert ALO 25.09.2014;EUR;;FALSE;;FALSE;;FALSE;11,2952 %;;;;;;;
CZ92YC;DE000CZ92YC1;Zertifikate;;[NONE];;;45;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert CGE 27.03.2014;EUR;;FALSE;;FALSE;;FALSE;4,8858 %;;;;;;;
CZ92YE;DE000CZ92YE7;Zertifikate;;[NONE];;;121;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert CGE 27.03.2014;EUR;;FALSE;;FALSE;;FALSE;5,4357 %;;;;;;;
CZ92YN;DE000CZ92YN8;Zertifikate;;[NONE];;;298;FALSE;5,8244 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert CS 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;4,2768 %;;;;;;;
CZ92YV;DE000CZ92YV1;Zertifikate;;[NONE];;;301;FALSE;5,8244 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert BNP 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;4,3295 %;;;;;;;
CZ92YZ;DE000CZ92YZ2;Zertifikate;;[NONE];;;300;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert BNP 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;2,6025 %;;;;;;;
CZ933F;DE000CZ933F9;Zertifikate;;[NONE];;;299;FALSE;5,8244 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert ML 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;4,2288 %;;;;;;;
CZ933N;DE000CZ933N3;Zertifikate;;[NONE];;;300;FALSE;8,4625 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert OR 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;1,2196 %;;;;;;;
CZ933W;DE000CZ933W4;Zertifikate;;[NONE];;;298;FALSE;64,4014 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert UG 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;5,4098 %;;;;;;;
CZ934C;DE000CZ934C4;Zertifikate;;[NONE];;;295;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert RNO 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;2,4563 %;;;;;;;
CZ934K;DE000CZ934K7;Zertifikate;;[NONE];;;300;FALSE;41,2853 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert SAN 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;3,3156 %;;;;;;;
CZ934P;DE000CZ934P6;Zertifikate;;[NONE];;;276;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert DG 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;2,4184 %;;;;;;;
CZ934Q;DE000CZ934Q4;Zertifikate;;[NONE];;;276;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert DG 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;2,5189 %;;;;;;;
CZ934T;DE000CZ934T8;Zertifikate;;[NONE];;;274;FALSE;57,7163 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Discount Zert DG 29.12.2014;EUR;;FALSE;;FALSE;;FALSE;5,0047 %;;;;;;;
DX3F57;DE000DX3F572;Zertifikatefonds;;[NONE];;;7;FALSE;87,3786 %;;;FALSE;Nicht geprüft;;;
;EUR/NZD WAVE Unlimited Call;EUR;;FALSE;;FALSE;;FALSE;-6.468,0613 %;;;;;;;30.12.2099
DX3FCA;DE000DX3FCA6;Zertifikatefonds;;[NONE];;;31;FALSE;16,8224 %;;;FALSE;Nicht geprüft;;;
;Thyssen-Krupp WAVE Put;EUR;;FALSE;;FALSE;;FALSE;100,577 %;;;;;;;12.12.2012
DX6UTX;DE000DX6UTX4;Optionsscheine;;[NONE];;;72;FALSE;99,9038 %;;;FALSE;Nicht geprüft;;;
;Deutsche Bank Put 1.26 EURUSD 19.08.2013;EUR;;FALSE;;FALSE;;FALSE;-1.966,0623 %;;;;;;;19.08.2013
DX6UU7;DE000DX6UU70;Optionsscheine;;[NONE];;;72;FALSE;87,1698 %;;;FALSE;Nicht geprüft;;;
;Deutsche Bank Call 0.85 EURGBP 19.08.2013;EUR;;FALSE;;FALSE;;FALSE;-507,4674 %;;;;;;;19.08.2013
GT31WG;DE000GT31WG8;Zertifikatefonds;;[NONE];;;26;FALSE;94,6322 %;;;FALSE;Nicht geprüft;;;
;Open-End-X-Turbo Bear auf DAX® (Performance Index)/ X-DAX®;EUR;;FALSE;;FALSE;;FALSE;-1.680,7303 %;;;;;;;30.12.2099
PA0BVD;DE000PA0BVD8;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;BNP Paribas Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
PA0BVK;DE000PA0BVK3;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;BNP Paribas Knock-Out DAX;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
PA0BY9;DE000PA0BY93;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;BNP Paribas Knock-Out DAX 26.09.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
